marca;motor;preco;massa[g];link;diametro;passo;pa;Throttle100Pot[W];Throttle100tracao0[g];T100tracao9;T100tracao18;T100tracao27;T100tracao36;T100tracao45;T100tracao54;T100tracao63;T100tracao72;T100tracao81;T100tracao90;T100tracao99;T100tracao108;T100tracao117;T100tracao126;T100tracao135;Throttle100Ef[%];Pot≈600Throttle[%];Pot≈600Pot[W];Pot≈600Ef[%];Pot≈600Tracao[g]
T-Motor;T-Motor MN701-S KV280;;996;;20;11.0;2;1491.1;6990;6953;6843;6660;6403;6073;5670;5193;4643;4019;3323;2553;1709;792;-;-;90.6;90;568;90.2;1592
T-Motor;T-Motor F1000-300;;1108;;19;10.0;2;1366.1;5925;5892;5790;5621;5385;5081;4710;4271;3764;3190;2548;1839;1062;218;-;-;86.6;94;616.5;86.3;1592
T-Motor;T-Motor AT4130-300 (Long Shaft);;1157;;20;8.0;2;1209.0;5732;5691;5566;5357;5066;4691;4232;3691;3065;2357;1565;690;-;-;-;-;88;99;628.1;88;1451
T-Motor;T-Motor AT4130-300 (Long Shaft);;1163;;19;10.0;2;1222.7;6114;6081;5979;5810;5574;5270;4899;4460;3953;3379;2737;2028;1251;407;-;-;88.3;93;604.2;88.1;1592
Scorpion;Scorpion SII-4025-330;;1163;;19;9.0;2;1237.1;6227;6192;6086;5909;5662;5344;4955;4496;3966;3366;2694;1953;1140;257;-;-;91.2;92;626.8;91.2;1592
T-Motor;T-Motor MN605-S KV320;;1106;;19;10.0;2;1343.5;6992;6958;6857;6688;6451;6147;5776;5337;4830;4256;3615;2906;2129;1285;373;-;89.2;86;598.6;88.9;1592
T-Motor;T-Motor P60-340;;1065;;18;9.0;2;1483.3;5791;5760;5667;5512;5295;5016;4675;4272;3807;3280;2691;2040;1327;552;-;-;84.2;88;575.8;83.9;1451
T-Motor;T-Motor MN705-S KV260;;1134;;20;10.0;2;1285.8;6064;6026;5911;5720;5452;5107;4686;4189;3615;2964;2237;1433;553;-;-;-;87.2;96;546.1;87.2;1451
T-Motor;T-Motor F1000-300;;1212;;19;11.0;2;1141.8;6338;6306;6209;6048;5821;5531;5176;4756;4271;3722;3109;2430;1687;880;8;-;86.7;89;577.5;86.2;1592
T-Motor;T-Motor MN605-S KV320;;1157;;20;8.0;2;1283.1;6555;6513;6388;6180;5888;5513;5055;4513;3888;3179;2388;1512;554;-;-;-;88.7;92;624.8;88.5;1451
T-Motor;T-Motor MN505-S KV380;;1065;;18;10.0;2;1466.3;7324;7295;7206;7058;6851;6585;6260;5876;5432;4930;4368;3747;3067;2328;1530;672;88;77;586.1;88.1;1592
